DATE,USD_W,DT_W,V_W
19/10/2008,"16,838.00",64.15,729.1
26/10/2008,"16,900.00",67.81,716.8
2/11/2008,"16,964.00",61.04,733.2
9/11/2008,"16,987.00",57.04,742.4
16/11/2008,"16,972.00",49.93,791.7
23/11/2008,"16,972.00",54.43,816.2
30/11/2008,"16,981.00",40.81,750.5
7/12/2008,"17,050.00",46.28,818.9
14/12/2008,"16,989.50",33.87,836.4
21/12/2008,"17,472.00",37.71,870.4
28/12/2008,"17,479.00",46.34,878.8
4/1/2009,"17,476.00",40.83,854.3
11/1/2009,"17,478.50",36.51,839.3
18/01/2009,"17,477.00",46.47,895.3
25/01/2009,"17,484.50",41.68,927.3
1/2/2009,"17,484.50",40.17,913.9
8/2/2009,"17,484.00",37.51,941.5
15/02/2009,"17,481.50",38.94,"1,001.80"
22/02/2009,"17,480.50",44.76,941.5
1/3/2009,"17,481.00",45.52,942.1
8/3/2009,"17,483.00",46.25,929.8
15/03/2009,"17,487.50",51.06,955.8
22/03/2009,"17,789.50",52.38,923
29/03/2009,"17,779.00",52.51,895.6
5/4/2009,"17,773.00",52.24,882.2
12/4/2009,"17,782.50",50.33,867.4
19/04/2009,"17,773.00",51.55,913.6
26/04/2009,"17,781.50",53.2,887.6
3/5/2009,"17,775.00",58.63,914.4
10/5/2009,"17,783.00",56.34,930.9
17/05/2009,"17,782.00",61.67,958.5
24/05/2009,"17,775.00",66.31,978.8
31/05/2009,"17,790.50",68.44,961.7
7/6/2009,"17,793.50",72.04,940.1
14/06/2009,"17,800.50",69.55,935.6
21/06/2009,"17,801.50",69.16,940.7
28/06/2009,"17,795.50",66.73,930.7
5/7/2009,"17,805.50",59.89,912.2
12/7/2009,"17,808.50",63.56,937.2
19/07/2009,"17,811.50",68.05,952.8
26/07/2009,"17,813.50",69.45,953.7
2/8/2009,"17,813.00",70.93,957.3
9/8/2009,"17,812.50",67.51,947
16/08/2009,"17,814.00",73.89,953.2
23/08/2009,"17,815.50",72.74,957
30/08/2009,"17,821.50",68.02,994.9
6/9/2009,"17,825.50",69.29,"1,004.90"
13/09/2009,"17,834.00",72.04,"1,009.20"
20/09/2009,"17,837.00",66.02,990.2
27/09/2009,"17,839.00",69.95,"1,003.20"
4/10/2009,"17,844.00",71.77,"1,047.80"
11/10/2009,"17,900.00",78.53,"1,050.70"
18/10/2009,"17,915.00",80.5,"1,055.60"
25/10/2009,"17,940.00",77,"1,039.70"
1/11/2009,"17,870.00",77.43,"1,095.10"
8/11/2009,"17,869.50",76.35,"1,116.10"
15/11/2009,"17,920.00",76.72,"1,146.40"
22/11/2009,"18,391.00",76.05,"1,174.20"
29/11/2009,"18,380.50",75.47,"1,168.80"
6/12/2009,"18,376.50",69.87,"1,119.40"
